"","QID1","QID2","QID3","QID4","QID5","QID6","QID7","QID8","QID9","QID10"
"Voter 1",1,0,1,1,0.55632183908046,0,0,1,1,0.748800833333333
"Voter 2",0,0.5,0.5,1,0.551724137931034,0,0,1,NA,0.748800833333333
"Voter 3",1,0,1,1,0.55632183908046,0,0,1,1,0.748800833333333
